filename, treedepth, time
exact_001.gr,6,0
exact_003.gr,11,0
exact_005.gr,5,0
exact_007.gr,9,1
exact_009.gr,6,0
exact_011.gr,5,0
exact_013.gr,7,0
exact_015.gr,5,0
exact_017.gr,10,6
exact_019.gr,7,0
exact_021.gr,5,0
exact_023.gr,7,0
exact_025.gr,8,0
exact_027.gr,11,52
exact_029.gr,12,158
exact_031.gr,11,99
exact_033.gr,12,112
exact_035.gr,9,3
exact_037.gr,7,0
exact_039.gr,7,0
exact_041.gr,5,0
exact_045.gr,11,356
exact_049.gr,10,71
exact_053.gr,7,0
exact_055.gr,9,3
exact_067.gr,9,6
exact_069.gr,6,0
exact_079.gr,9,3
exact_081.gr,7,0
exact_091.gr,9,4
exact_093.gr,6,0
exact_095.gr,8,0
exact_097.gr,7,0
exact_105.gr,9,18
exact_109.gr,9,22
exact_113.gr,6,0
exact_127.gr,8,1
exact_145.gr,7,1
exact_151.gr,7,81
exact_165.gr,9,8
exact_177.gr,9,31
exact_181.gr,10,166
